id,name,description,type,online,ecommerce,url,physical,lat,lng
70,El Huerto de la Quinta de los Molinos,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/el-huerto-de-la-quinta-de-los-molinos/,YES,40.4433,-3.6355
71,Huerto Raíz Cuadrada,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-raiz-cuadrada/,YES,40.4439,-3.6179
72,El Huertuco,,urban_garden,YES,-,http://elhuertuco.blogspot.com/,YES,40.4409,-3.5749
73,El Huerto de Batán,,urban_garden,YES,-,http://elhuertodebatan.blogspot.com/,YES,40.4026,-3.7552
74,Huerto Urbano Lucero,,urban_garden,YES,-,https://huertourbanodelucero.blogspot.com/,YES,40.4011,-3.7443
75,Huerto Urbano Comunitario de La Cornisa,,urban_garden,YES,-,http://huertodelacornisa.blogspot.com/,YES,40.4105,-3.7158
76,Huerto Casino de la Reina,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-casino-de-la-reina/,YES,40.4064,-3.7056
77,Huerto La Revoltosa,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-la-revoltosa/,YES,40.4011,-3.7033
78,Huerto de Adelfas,,urban_garden,YES,-,http://huertourbanodeadelfas.blogspot.com/,YES,40.3962,-3.6733
79,Huerto Siglo XXI,,urban_garden,YES,-,http://www.huertosigloxxi.es/,YES,40.4088,-3.6625
80,Huerto urbano comunitario de Vicálvaro,,urban_garden,YES,-,https://www.facebook.com/Huerto-Urbano-Comunitario-Vic%C3%A1lvaro-331363017056531/,YES,40.406,-3.6177
81,Huerto Toboso,,urban_garden,YES,-,https://huertourbanoeltoboso.webnode.es/,YES,40.3925,-3.73
82,Huerto Pinar- Carabanchel,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-pinar-carabanchel/,YES,40.3645,-3.765
83,Huerto Ladis,,urban_garden,YES,-,https://huertoladis.wordpress.com/,YES,40.3491,-3.7204
84,Huerto El Cruce,,urban_garden,YES,-,https://www.facebook.com/huerto.cruce,YES,40.3501,-3.6949
85,Huerto Butarque,,urban_garden,YES,-,https://www.facebook.com/hubutarque,YES,40.3466,-3.6741
86,Huerto urbano de José Couso,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-urbano-de-jose-couso/,YES,40.3753,-3.6275
87,Huerto Quijotes con Azadas,,urban_garden,YES,-,https://quijotesconazada.wordpress.com/,YES,40.3735,-3.6245
88,El Huerto de la Villa,,urban_garden,YES,-,https://elhuertodelavilla.wordpress.com/,YES,40.372,-3.616
89,La Huerta Eugenia,,urban_garden,YES,-,http://lahuertaeugenia.blogspot.com/,YES,40.3751,-3.6033
90,huerto Parque de Comillas,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-parque-de-comillas/,YES,-,-
91,Esta es una Plaza,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/esta-es-una-plaza/,YES,-,-
92,huerto de San Fermin,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huirto-de-san-fermin/,YES,-,-
93,Huerto Las Vías,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-las-vias/,YES,-,-
94,Huerto Sancho Dávila,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-sancho-davila/,YES,-,-
95,Huerto Chamberí,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-chamberi/,YES,-,-
96,Huerto Barcelo,,urban_garden,YES,-,https://diario.madrid.es/huertos/huerto/huerto-barcelo/,YES,-,-
